,ArcA<-!O2xt_b,Cra<-!SurplusFDP,DcuR<-DcuS,DcuS<-SUCCxt_b,FadR<-!ACxt_b,FadR<-GLCxt_b,Fnr<-!O2xt_b,GalR<-!LCTSxt_b,GalS<-!LCTSxt_b,GlpR<-1,IclR<-FadR,LACUP<-!GLCxt_b,LACUP<-!LCTSxt_b,Lacl<-!LCTSxt_b,Mlc<-!GLCxt_b,PdhR<-!SurplusPYR,RbsR<-1,RpiR<-1,SurplusF6P<-TALAR_forward,SurplusF6P<-TKTB2R_forward,SurplusF6P<-TALBR_reverse,SurplusF6P<-TKTA2R_reverse,SurplusFDP<-1,SurplusPYR<-1,aceA<-!IclR,aceB<-!ArcA+!IclR,aceEF<-!PdhR,acnA<-ACxt_b,acnA<-LCTSxt_b,acnB<-ACxt_b,acnB<-LCTSxt_b,acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,adhE<-1,cydAB<-1,cyoABCD<-!Fnr,cyoABCD<-!ArcA,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,dcuB<-DcuR,dcuC<-Fnr,dcuC<-ArcA,fdnGHI<-Fnr,focA<-Fnr,focA<-ArcA,frdABCD<-Fnr,fumA<-!Fnr,fumA<-!ArcA,fumB<-Fnr,galE<-!GLCxt_b+!GalS,galE<-!GLCxt_b+!GalR,galK<-!GLCxt_b+!GalS,galK<-!GLCxt_b+!GalR,galM<-!GLCxt_b+!GalS,galM<-!GLCxt_b+!GalR,galP<-ACxt_b,galP<-GLCxt_b,galT<-!GLCxt_b+!GalS,galT<-!GLCxt_b+!GalR,glpABC<-!GlpR,glpD<-!GlpR,glpF<-!GlpR,glpK<-!GlpR,lacZ<-!GLCxt_b+!Lacl,lpdA<-!PdhR,mdh<-!ArcA,ndh<-!Fnr,pflAB<-Fnr,pflAB<-ArcA,pflCD<-Fnr,pflCD<-ArcA,pgk<-ACxt_b,pgk<-LCTSxt_b,ppsA<-Cra,ptsGHI<-ACxt_b,ptsGHI<-!Mlc,ptsGHI<-LCTSxt_b,pykF<-!Cra,rbsABCD<-!RbsR,rbsK<-!RbsR,rpiB<-!RpiR,sdhABCD<-!Fnr,sdhABCD<-!ArcA,sucAB<-!PdhR,SurplusF6P<-TKTB2R_reverse,SurplusF6P<-TKTA2R_forward,SurplusF6P<-!FBP,SurplusF6P<-PGIR_reverse,SurplusF6P<-TALBR_forward,SurplusF6P<-PGIR_forward,SurplusF6P<-TALAR_reverse,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b,dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,galP<-LCTSxt_b
Cra<-!SurplusFDP,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DcuR<-DcuS,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DcuS<-SUCCxt_b,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FadR<-!ACxt_b,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FadR<-GLCxt_b,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fnr<-!O2xt_b,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GalR<-!LCTSxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GalS<-!LCTSxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GlpR<-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
IclR<-FadR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LACUP<-!GLCxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LACUP<-!LCTSxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Lacl<-!LCTSxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mlc<-!GLCxt_b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PdhR<-!SurplusPYR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RbsR<-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RpiR<-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SurplusF6P<-TALAR_forward,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,,38.095238095238095,0.0,38.095238095238095,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,34.41558441558442,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,35.116279069767444,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,10.81081081081081,10.81081081081081,26.811594202898554,0.0,41.42857142857143,0.0,41.42857142857143,0.0,0.0,20.0
SurplusF6P<-TKTB2R_forward,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,20.125786163522015,,20.125786163522015,0.0,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.316017316017316,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,18.6046511627907,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,17.872340425531917,27.027027027027028,27.027027027027028,0.0,0.0,2.857142857142857,0.0,2.857142857142857,50.0,50.0,10.0
SurplusF6P<-TALBR_reverse,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,0.0,38.095238095238095,,38.095238095238095,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,34.41558441558442,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,35.116279069767444,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,33.829787234042556,10.81081081081081,10.81081081081081,26.811594202898554,0.0,41.42857142857143,0.0,41.42857142857143,0.0,0.0,20.0
