,ArcA<-!O2xt_b,Cra<-!SurplusFDP,DcuR<-DcuS,DcuS<-SUCCxt_b,FadR<-!ACxt_b,FadR<-GLCxt_b,Fnr<-!O2xt_b,GalR<-!LCTSxt_b,GalS<-!LCTSxt_b,GlpR<-1,IclR<-FadR,LACUP<-!GLCxt_b,LACUP<-!LCTSxt_b,Lacl<-!LCTSxt_b,Mlc<-!GLCxt_b,PdhR<-!SurplusPYR,RbsR<-1,RpiR<-1,SurplusF6P<-TALAR_forward,SurplusF6P<-TKTB2R_forward,SurplusF6P<-TALBR_reverse,SurplusF6P<-TKTA2R_reverse,SurplusFDP<-1,SurplusPYR<-1,aceA<-!IclR,aceB<-!ArcA+!IclR,aceEF<-!PdhR,acnA<-ACxt_b,acnA<-LCTSxt_b,acnB<-ACxt_b,acnB<-LCTSxt_b,acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,adhE<-1,cydAB<-1,cyoABCD<-!Fnr,cyoABCD<-!ArcA,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,dcuB<-DcuR,dcuC<-Fnr,dcuC<-ArcA,fdnGHI<-Fnr,focA<-Fnr,focA<-ArcA,frdABCD<-Fnr,fumA<-!Fnr,fumA<-!ArcA,fumB<-Fnr,galE<-!GLCxt_b+!GalS,galE<-!GLCxt_b+!GalR,galK<-!GLCxt_b+!GalS,galK<-!GLCxt_b+!GalR,galM<-!GLCxt_b+!GalS,galM<-!GLCxt_b+!GalR,galP<-ACxt_b,galP<-GLCxt_b,galT<-!GLCxt_b+!GalS,galT<-!GLCxt_b+!GalR,glpABC<-!GlpR,glpD<-!GlpR,glpF<-!GlpR,glpK<-!GlpR,lacZ<-!GLCxt_b+!Lacl,lpdA<-!PdhR,mdh<-!ArcA,ndh<-!Fnr,pflAB<-Fnr,pflAB<-ArcA,pflCD<-Fnr,pflCD<-ArcA,pgk<-ACxt_b,pgk<-LCTSxt_b,ppsA<-Cra,ptsGHI<-ACxt_b,ptsGHI<-!Mlc,ptsGHI<-LCTSxt_b,pykF<-!Cra,rbsABCD<-!RbsR,rbsK<-!RbsR,rpiB<-!RpiR,sdhABCD<-!Fnr,sdhABCD<-!ArcA,sucAB<-!PdhR,SurplusF6P<-TKTB2R_reverse,SurplusF6P<-TKTA2R_forward,SurplusF6P<-!FBP,SurplusF6P<-PGIR_reverse,SurplusF6P<-TALBR_forward,SurplusF6P<-PGIR_forward,SurplusF6P<-TALAR_reverse,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b,dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,galP<-LCTSxt_b
sucAB<-!PdhR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SurplusF6P<-TKTB2R_reverse,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,2.515723270440252,11.904761904761903,2.515723270440252,11.904761904761903,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.142857142857142,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,4.883720930232558,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,,0.0,0.7246376811594203,0.0,14.285714285714285,50.0,14.285714285714285,50.0,50.0,40.0
SurplusF6P<-TKTA2R_forward,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,2.515723270440252,11.904761904761903,2.515723270440252,11.904761904761903,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.142857142857142,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,4.883720930232558,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,7.872340425531915,0.0,,0.7246376811594203,0.0,14.285714285714285,50.0,14.285714285714285,50.0,50.0,40.0
SurplusF6P<-!FBP,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,23.270440251572328,0.0,23.270440251572328,0.0,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.87012987012987,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,32.093023255813954,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,29.361702127659573,2.7027027027027026,2.7027027027027026,,100.0,0.0,0.0,0.0,0.0,0.0,0.0
SurplusF6P<-PGIR_reverse,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,0.0,0.0,0.0,0.0,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.41991341991342,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,14.418604651162791,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,13.191489361702127,0.0,0.0,44.927536231884055,,0.0,0.0,0.0,0.0,0.0,0.0
SurplusF6P<-TALBR_forward,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,18.238993710691823,2.380952380952381,18.238993710691823,2.380952380952381,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,15.151515151515152,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,13.488372093023257,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,27.027027027027028,27.027027027027028,0.0,0.0,,50.0,0.0,0.0,0.0,30.0
SurplusF6P<-PGIR_forward,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,0.0,0.0,0.0,0.0,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.463203463203463,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,1.8604651162790697,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,3.404255319148936,21.62162162162162,21.62162162162162,0.0,0.0,11.428571428571429,,11.428571428571429,0.0,0.0,20.0
SurplusF6P<-TALAR_reverse,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,18.238993710691823,2.380952380952381,18.238993710691823,2.380952380952381,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,15.151515151515152,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,13.488372093023257,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,14.893617021276595,27.027027027027028,27.027027027027028,0.0,0.0,0.0,50.0,,0.0,0.0,30.0
dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b+!RIBxt_b,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.0,2.380952380952381,0.0,2.380952380952381,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.0,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.9302325581395349,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,5.405405405405405,5.405405405405405,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
dctA<-!ArcA+!GLCxt_b+!GLxt_b+!LACxt_b+!LCTSxt_b,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.0,2.380952380952381,0.0,2.380952380952381,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.0,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.9302325581395349,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,5.405405405405405,5.405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
galP<-LCTSxt_b,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,5.031446540880504,4.761904761904762,5.031446540880504,4.761904761904762,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.658008658008658,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,0.0,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,43.24324324324324,43.24324324324324,0.0,0.0,17.142857142857142,50.0,17.142857142857142,0.0,0.0,
ArcA<-!O2xt_b,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
nb_BN_with_it,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,651264.0,344064.0,651264.0,344064.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,962560.0,962560.0,1892352.0,1925120.0,962560.0,962560.0,1925120.0,962560.0,962560.0,1925120.0,962560.0,962560.0,1925120.0,962560.0,962560.0,962560.0,962560.0,962560.0,962560.0,1925120.0,1761280.0,962560.0,962560.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,1925120.0,962560.0,962560.0,962560.0,962560.0,1925120.0,1925120.0,1925120.0,1925120.0,962560.0,962560.0,1925120.0,1925120.0,1925120.0,1925120.0,962560.0,962560.0,1925120.0,151552.0,151552.0,565248.0,253952.0,286720.0,65536.0,286720.0,16384.0,16384.0,163840.0
