,LACUP<-!LCTSxt_b,PdhR<-!SurplusPYR,galM<-!GLCxt_b & !GalS,LACUP<-!GLCxt_b,focA<-ArcA,ArcA<-!O2xt_b,acnA<-ETHxt_b,fdnGHI<-Fnr,fumA<-!ArcA,pykF<-!Cra,rbsK<-!RbsR,FadR<-GLCxt_b,pflAB<-ArcA,frdABCD<-Fnr,ptsGHI<-LACxt_b,galP<-ACxt_b,acs<-!ETHxt_b & !IclR & !LACxt_b & !LCTSxt_b,galE<-!GLCxt_b & !GalS,fumA<-!Fnr,ndh<-!Fnr,acnA<-GLCxt_b,focA<-Fnr,pgk<-LCTSxt_b,sdhABCD<-!Fnr,LACUP<-!GLCxt_b & !LCTSxt_b,mdh<-!ArcA,fumB<-Fnr,acnB<-ETHxt_b,galT<-!GLCxt_b & !GalS,acnB<-LACxt_b,glpD<-!GlpR,galP<-LACxt_b,sdhABCD<-!ArcA,acnB<-GLCxt_b,rbsABCD<-!RbsR,Cra<-!SurplusFDP,ptsGHI<-!Mlc,DcuS<-SUCCxt_b,lpdA<-!PdhR,galK<-!GLCxt_b & !GalS,lacZ<-!GLCxt_b & !Lacl,adhE<-!Cra,galK<-!GLCxt_b & !GalR,dcuC<-ArcA,FadR<-!ACxt_b,acnB<-ACxt_b,ppsA<-Cra,dctA<-!ArcA & !GLCxt_b & !LACxt_b & !LCTSxt_b,Fnr<-!O2xt_b,pflCD<-ArcA,acnA<-LCTSxt_b,rpiB<-!RpiR,acnA<-LACxt_b,galM<-!GLCxt_b & !GalR,galP<-ETHxt_b,DcuR<-DcuS,pgk<-GLCxt_b,aceEF<-!PdhR,glpABC<-!GlpR,ptsGHI<-LCTSxt_b,dcuC<-Fnr,galP<-LCTSxt_b,galE<-!GLCxt_b & !GalR,ptsGHI<-GLCxt_b,pgk<-ETHxt_b,IclR<-FadR,pflAB<-Fnr,pflCD<-Fnr,aceA<-!IclR,ptsGHI<-ETHxt_b,GalS<-!LCTSxt_b,glpF<-!GlpR,sucAB<-!PdhR,adhE<-!O2xt_b,pgk<-LACxt_b,ptsGHI<-ACxt_b,cyoABCD<-!Fnr,Mlc<-!GLCxt_b,aceB<-!ArcA & !IclR,galP<-GLCxt_b,pgk<-ACxt_b,acnB<-LCTSxt_b,GalR<-!LCTSxt_b,acnA<-ACxt_b,glpK<-!GlpR,galT<-!GLCxt_b & !GalR,Lacl<-!LCTSxt_b,dcuB<-DcuR,cyoABCD<-!ArcA
ArcA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
Cra,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
DcuR,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
DcuS,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
FadR,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
Fnr,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
GalR,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
GalS,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
IclR,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
LACUP,50,100,50,50,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,25,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
Lacl,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
Mlc,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
PdhR,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
aceA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
aceB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
aceEF,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
acnA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
acnB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
acs,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
adhE,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
cyoABCD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
dctA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
dcuB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
dcuC,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
fdnGHI,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
focA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
frdABCD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
fumA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
fumB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
galE,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
galK,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
galM,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
galP,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
galT,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
glpABC,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
glpD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
glpF,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
glpK,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
lacZ,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
lpdA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
mdh,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
ndh,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
pflAB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
pflCD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
pgk,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
ppsA,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
ptsGHI,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
pykF,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
rbsABCD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
rbsK,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
rpiB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
sdhABCD,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
sucAB,40,100,50,40,50,100,33,100,50,100,100,100,50,100,25,100,100,50,50,100,33,50,100,50,20,100,100,33,50,33,100,33,50,33,100,100,25,100,100,50,100,100,50,50,100,100,100,100,100,50,100,100,33,50,33,100,33,100,100,75,50,100,50,25,33,100,50,50,100,25,100,100,100,100,33,100,50,100,100,33,100,100,100,100,100,50,100,100,50
